index,category
0,11
1,4
2,9
3,2
4,10
5,1
6,3
7,2
8,6
9,10
10,1
11,10
12,11
13,2
14,8
15,5
16,1
17,7
18,2
19,7
20,1
21,1
22,0
23,11
24,0
25,8
26,6
27,11
28,7
29,10
30,2
31,6
32,1
33,4
34,11
35,7
36,1
37,4
38,9
39,10
40,7
41,5
42,3
43,4
44,4
45,11
46,4
47,2
48,0
49,1
50,1
51,3
52,11
53,1
54,9
55,10
56,12
57,11
58,4
59,1
60,7
61,2
62,1
63,2
64,11
65,0
66,11
67,11
68,12
69,0
70,4
71,9
72,10
73,6
74,11
75,7
76,1
77,1
78,11
79,7
80,7
81,0
82,10
83,5
84,5
85,4
86,4
87,11
88,12
89,0
90,4
91,4
92,4
93,1
94,0
95,11
96,12
97,9
98,0
99,11
100,1
101,4
102,4
103,8
104,1
105,8
106,3
107,10
108,4
109,1
110,4
111,7
112,11
113,0
114,11
115,4
116,5
117,4
118,4
119,4
120,7
121,7
122,7
123,6
124,3
125,3
126,4
127,7
128,11
129,4
130,6
131,11
132,5
133,7
134,5
135,5
136,8
137,4
138,6
139,8
140,11
141,1
142,7
143,9
144,10
145,7
146,4
147,11
148,3
149,1
150,4
151,6
152,10
153,7
154,3
155,1
156,4
157,0
158,7
159,6
160,1
161,4
162,12
163,11
164,2
165,2
166,10
167,9
168,2
169,1
170,4
171,7
172,3
173,10
174,2
175,10
176,5
177,6
178,4
179,5
180,4
181,10
182,4
183,0
184,8
185,0
186,6
187,1
188,10
189,2
190,5
191,6
192,11
193,9
194,4
195,2
196,2
197,1
198,4
199,2
200,8
201,9
202,7
203,11
204,11
205,11
206,11
207,11
208,7
209,11
210,5
211,2
212,2
213,1
214,6
215,11
216,6
217,7
218,2
219,2
220,6
221,3
222,4
223,7
224,7
225,4
226,4
227,4
228,1
229,11
230,5
231,11
232,6
233,11
234,7
235,2
236,5
237,10
238,6
239,5
240,1
241,2
242,1
243,7
244,7
245,7
246,11
247,4
248,10
249,4
250,10
251,9
252,4
253,4
254,5
255,11
256,4
257,4
258,10
259,7
260,1
261,7
262,5
263,7
264,8
265,2
266,11
267,7
268,10
269,5
270,11
271,1
272,11
273,4
274,2
275,7
276,1
277,7
278,0
279,2
280,10
281,4
282,4
283,1
284,6
285,2
286,0
287,1
288,2
289,1
290,7
291,8
292,8
293,3
294,6
295,4
296,7
297,11
298,4
299,5
300,6
301,8
302,9
303,11
304,4
305,4
306,4
307,2
308,7
309,8
310,6
311,2
312,5
313,4
314,7
315,1
316,0
317,12
318,7
319,1
320,1
321,5
322,4
323,9
324,4
325,7
326,6
327,1
328,11
329,10
330,11
331,4
332,11
333,3
334,10
335,2
336,11
337,11
338,11
339,9
340,4
341,11
342,5
343,11
344,11
345,11
346,4
347,7
348,0
349,11
350,5
351,6
352,12
353,9
354,3
355,11
356,7
357,7
358,7
359,4
360,11
361,1
362,10
363,7
364,4
365,2
366,10
367,1
368,8
369,5
370,11
371,1
372,6
373,5
374,3
375,0
376,5
377,6
378,7
379,8
380,11
381,2
382,10
383,7
384,3
385,5
386,7
387,9
388,1
389,1
390,2
391,8
392,5
393,0
394,5
395,10
396,4
397,9
398,10
399,7
400,5
401,0
402,12
403,4
404,7
405,10
406,7
407,4
408,9
409,7
410,0
411,4
412,1
413,8
414,12
415,6
416,0
417,7
418,7
419,2
420,5
421,1
422,10
423,12
424,4
425,3
426,11
427,3
428,10
429,8
430,2
431,6
432,1
433,10
434,9
435,3
436,7
437,7
438,5
439,6
440,6
441,11
442,1
443,4
444,1
445,10
446,7
447,6
448,2
449,0
